timestamp,value
2023-03-30T00:00:00Z,83.0
2023-03-30T00:01:00Z,82.9
2023-03-30T00:02:00Z,82.6
2023-03-30T00:03:00Z,82.5
2023-03-30T00:04:00Z,82.5
2023-03-30T00:05:00Z,82.5
2023-03-30T00:06:00Z,82.5
2023-03-30T00:07:00Z,82.4
2023-03-30T00:08:00Z,82.5
2023-03-30T00:09:00Z,82.5
2023-03-30T00:10:00Z,82.3
2023-03-30T00:11:00Z,82.3
2023-03-30T00:12:00Z,82.3
2023-03-30T00:13:00Z,82.2
2023-03-30T00:14:00Z,82.3
2023-03-30T00:15:00Z,82.5
2023-03-30T00:16:00Z,82.6
2023-03-30T00:17:00Z,82.4
2023-03-30T00:18:00Z,82.6
2023-03-30T00:19:00Z,82.6
2023-03-30T00:20:00Z,82.4
2023-03-30T00:21:00Z,82.3
2023-03-30T00:22:00Z,82.5
2023-03-30T00:23:00Z,82.7
2023-03-30T00:24:00Z,82.7
2023-03-30T00:25:00Z,82.9
2023-03-30T00:26:00Z,82.7
2023-03-30T00:27:00Z,82.5
2023-03-30T00:28:00Z,82.6
2023-03-30T00:29:00Z,82.7
2023-03-30T00:30:00Z,82.5
2023-03-30T00:31:00Z,82.6
2023-03-30T00:32:00Z,82.4
2023-03-30T00:33:00Z,82.5
2023-03-30T00:34:00Z,82.3
2023-03-30T00:35:00Z,82.6
2023-03-30T00:36:00Z,82.6
2023-03-30T00:37:00Z,50.0
2023-03-30T00:38:00Z,82.5
2023-03-30T00:39:00Z,50.0
2023-03-30T00:40:00Z,84.2
2023-03-30T00:41:00Z,85.0
2023-03-30T00:42:00Z,85.2
2023-03-30T00:43:00Z,50.0
2023-03-30T00:44:00Z,84.8
2023-03-30T00:45:00Z,81.8
2023-03-30T00:46:00Z,80.7
2023-03-30T00:47:00Z,81.8
2023-03-30T00:48:00Z,80.5
2023-03-30T00:49:00Z,50.0
2023-03-30T00:50:00Z,77.4
2023-03-30T00:51:00Z,77.4
2023-03-30T00:52:00Z,77.9
2023-03-30T00:53:00Z,78.1
2023-03-30T00:54:00Z,50.0
2023-03-30T00:55:00Z,78.7
2023-03-30T00:56:00Z,50.0
2023-03-30T00:57:00Z,81.8
2023-03-30T00:58:00Z,50.0
2023-03-30T00:59:00Z,82.7
2023-03-30T01:00:00Z,83.2
2023-03-30T01:01:00Z,83.2
2023-03-30T01:02:00Z,82.8
2023-03-30T01:03:00Z,50.0
2023-03-30T01:04:00Z,82.7
2023-03-30T01:05:00Z,82.5
2023-03-30T01:06:00Z,82.9
2023-03-30T01:07:00Z,82.1
2023-03-30T01:08:00Z,82.7
2023-03-30T01:09:00Z,83.3
2023-03-30T01:10:00Z,84.6
2023-03-30T01:11:00Z,82.7
2023-03-30T01:12:00Z,82.4
2023-03-30T01:13:00Z,82.7
2023-03-30T01:14:00Z,82.2
2023-03-30T01:15:00Z,82.2
2023-03-30T01:16:00Z,82.1
2023-03-30T01:17:00Z,82.5
2023-03-30T01:18:00Z,80.4
2023-03-30T01:19:00Z,82.8
2023-03-30T01:20:00Z,82.8
2023-03-30T01:21:00Z,82.7
2023-03-30T01:22:00Z,83.6
2023-03-30T01:23:00Z,83.6
2023-03-30T01:24:00Z,50.0
2023-03-30T01:25:00Z,85.8
2023-03-30T01:26:00Z,87.6
2023-03-30T01:27:00Z,88.9
2023-03-30T01:28:00Z,89.7
2023-03-30T01:29:00Z,90.6
2023-03-30T01:30:00Z,90.8
2023-03-30T01:31:00Z,91.3
2023-03-30T01:32:00Z,91.4
2023-03-30T01:33:00Z,91.5
2023-03-30T01:34:00Z,91.7
2023-03-30T01:35:00Z,91.8
2023-03-30T01:36:00Z,91.5
2023-03-30T01:37:00Z,91.5
2023-03-30T01:38:00Z,91.3
2023-03-30T01:39:00Z,91.5
2023-03-30T01:40:00Z,91.9
2023-03-30T01:41:00Z,91.6
2023-03-30T01:42:00Z,91.5
2023-03-30T01:43:00Z,91.7
2023-03-30T01:44:00Z,91.6
2023-03-30T01:45:00Z,91.3
2023-03-30T01:46:00Z,91.3
2023-03-30T01:47:00Z,91.4
2023-03-30T01:48:00Z,91.7
2023-03-30T01:49:00Z,50.0
2023-03-30T01:50:00Z,89.2
2023-03-30T01:51:00Z,89.5
2023-03-30T01:52:00Z,90.5
2023-03-30T01:53:00Z,91.4
2023-03-30T01:54:00Z,92.3
2023-03-30T01:55:00Z,93.2
2023-03-30T01:56:00Z,92.6
2023-03-30T01:57:00Z,92.7
2023-03-30T01:58:00Z,94.0
2023-03-30T01:59:00Z,95.0
2023-03-30T02:00:00Z,95.2
2023-03-30T02:01:00Z,94.8
2023-03-30T02:02:00Z,95.7
2023-03-30T02:03:00Z,96.5
2023-03-30T02:04:00Z,95.8
2023-03-30T02:05:00Z,50.0
