timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-09-01T22:20:43Z,1,0,0,Charge 6
2025-09-01T22:20:44Z,2,0,0,Charge 6
2025-09-01T22:20:45Z,0,0,0,Charge 6
2025-09-01T22:20:46Z,1,0,0,Charge 6
2025-09-01T22:20:47Z,1,0,0,Charge 6
2025-09-01T22:20:48Z,0,0,0,Charge 6
2025-09-01T22:20:49Z,1,0,0,Charge 6
2025-09-01T22:20:50Z,2,140,0,Charge 6
2025-09-01T22:20:51Z,1,280,0,Charge 6
2025-09-01T22:20:52Z,2,460,0,Charge 6
2025-09-01T22:20:53Z,2,670,0,Charge 6
2025-09-01T22:20:54Z,1,850,0,Charge 6
2025-09-01T22:20:55Z,2,930,0,Charge 6
2025-09-01T22:20:56Z,1,970,0,Charge 6
2025-09-01T22:20:57Z,1,990,0,Charge 6
2025-09-01T22:20:58Z,0,910,0,Charge 6
2025-09-01T22:20:59Z,1,870,0,Charge 6
2025-09-01T22:21:00Z,1,790,0,Charge 6
2025-09-01T22:21:01Z,1,730,0,Charge 6
2025-09-01T22:21:02Z,1,700,0,Charge 6
2025-09-01T22:21:03Z,1,700,0,Charge 6
2025-09-01T22:21:04Z,1,700,0,Charge 6
2025-09-01T22:21:05Z,1,720,0,Charge 6
2025-09-01T22:21:06Z,1,710,0,Charge 6
2025-09-01T22:21:07Z,1,710,0,Charge 6
2025-09-01T22:21:08Z,1,710,0,Charge 6
2025-09-01T22:21:09Z,1,720,0,Charge 6
2025-09-01T22:21:10Z,0,680,0,Charge 6
2025-09-01T22:21:11Z,0,610,0,Charge 6
2025-09-01T22:21:12Z,0,0,0,Charge 6
2025-09-01T22:21:13Z,0,0,0,Charge 6
2025-09-01T22:21:14Z,0,0,0,Charge 6
2025-09-01T22:21:15Z,0,0,0,Charge 6
2025-09-01T22:21:16Z,0,0,0,Charge 6
2025-09-01T22:21:17Z,0,0,0,Charge 6
2025-09-01T22:21:18Z,0,0,0,Charge 6
2025-09-01T22:21:19Z,0,0,0,Charge 6
2025-09-01T22:21:20Z,0,0,0,Charge 6
2025-09-01T22:21:21Z,0,0,0,Charge 6
2025-09-01T22:21:22Z,0,0,0,Charge 6
2025-09-01T22:21:23Z,0,0,0,Charge 6
2025-09-01T22:21:24Z,0,0,0,Charge 6
2025-09-01T22:21:25Z,0,0,0,Charge 6
2025-09-01T22:21:26Z,0,0,0,Charge 6
2025-09-01T22:21:27Z,0,0,0,Charge 6
2025-09-01T22:21:28Z,0,0,0,Charge 6
2025-09-01T22:21:29Z,0,0,0,Charge 6
2025-09-01T22:21:30Z,0,0,0,Charge 6
2025-09-01T22:21:31Z,0,0,0,Charge 6
2025-09-01T22:21:32Z,0,0,0,Charge 6
2025-09-01T22:21:33Z,0,0,0,Charge 6
2025-09-01T22:21:34Z,0,0,0,Charge 6
2025-09-01T22:21:35Z,0,0,0,Charge 6
2025-09-01T22:21:36Z,0,0,0,Charge 6
2025-09-01T22:21:37Z,0,0,0,Charge 6
2025-09-01T22:21:38Z,0,0,0,Charge 6
2025-09-01T22:21:39Z,0,0,0,Charge 6
2025-09-01T22:21:40Z,0,0,0,Charge 6
2025-09-01T22:21:41Z,0,0,0,Charge 6
2025-09-01T22:21:42Z,0,0,0,Charge 6
2025-09-01T22:21:43Z,0,0,0,Charge 6
2025-09-01T22:21:44Z,0,0,0,Charge 6
2025-09-01T22:21:45Z,0,0,0,Charge 6
2025-09-01T22:21:46Z,0,0,0,Charge 6
2025-09-01T22:21:47Z,0,0,0,Charge 6
2025-09-01T22:21:48Z,2,0,0,Charge 6
2025-09-01T22:21:49Z,2,0,0,Charge 6
2025-09-01T22:21:50Z,0,0,0,Charge 6
2025-09-01T22:21:51Z,0,0,0,Charge 6
2025-09-01T22:21:52Z,0,0,0,Charge 6
2025-09-01T22:21:53Z,0,0,0,Charge 6
2025-09-01T22:21:54Z,0,0,0,Charge 6
2025-09-01T22:21:55Z,0,0,0,Charge 6
2025-09-01T22:21:56Z,0,0,0,Charge 6
2025-09-01T22:21:57Z,0,0,0,Charge 6
2025-09-01T22:21:58Z,0,0,0,Charge 6
2025-09-01T22:21:59Z,0,0,0,Charge 6
2025-09-01T22:22:00Z,0,0,0,Charge 6
2025-09-01T22:22:01Z,0,0,0,Charge 6
2025-09-01T22:22:02Z,0,0,0,Charge 6
2025-09-01T22:22:03Z,0,0,0,Charge 6
2025-09-01T22:22:04Z,0,0,0,Charge 6
2025-09-01T22:22:05Z,0,0,0,Charge 6
2025-09-01T22:22:06Z,0,0,0,Charge 6
2025-09-01T22:22:07Z,0,0,0,Charge 6
2025-09-01T22:22:08Z,0,0,0,Charge 6
2025-09-01T22:22:09Z,0,0,0,Charge 6
2025-09-01T22:22:10Z,0,0,0,Charge 6
2025-09-01T22:22:11Z,0,0,0,Charge 6
2025-09-01T22:22:12Z,0,0,0,Charge 6
2025-09-01T22:22:13Z,0,0,0,Charge 6
2025-09-01T22:22:14Z,0,0,0,Charge 6
2025-09-01T22:22:15Z,0,0,0,Charge 6
2025-09-01T22:22:16Z,0,0,0,Charge 6
2025-09-01T22:22:17Z,0,0,0,Charge 6
2025-09-01T22:22:18Z,0,0,0,Charge 6
2025-09-01T22:22:19Z,0,0,0,Charge 6
2025-09-01T22:22:20Z,0,0,0,Charge 6
2025-09-01T22:22:21Z,0,0,0,Charge 6
2025-09-01T22:22:22Z,0,0,0,Charge 6
2025-09-01T22:22:23Z,0,0,0,Charge 6
2025-09-01T22:22:24Z,0,0,0,Charge 6
2025-09-01T22:22:25Z,0,0,0,Charge 6
2025-09-01T22:22:26Z,0,0,0,Charge 6
2025-09-01T22:22:27Z,0,0,0,Charge 6
2025-09-01T22:22:28Z,0,0,0,Charge 6
2025-09-01T22:22:29Z,0,0,0,Charge 6
2025-09-01T22:22:30Z,0,0,0,Charge 6
2025-09-01T22:22:31Z,0,0,0,Charge 6
2025-09-01T22:22:32Z,0,0,0,Charge 6
2025-09-01T22:22:33Z,0,0,0,Charge 6
2025-09-01T22:22:34Z,0,0,0,Charge 6
2025-09-01T22:22:35Z,0,0,0,Charge 6
2025-09-01T22:22:36Z,0,0,0,Charge 6
2025-09-01T22:22:37Z,0,0,0,Charge 6
2025-09-01T22:22:38Z,0,0,0,Charge 6
2025-09-01T22:22:39Z,0,0,0,Charge 6
2025-09-01T22:22:40Z,0,0,0,Charge 6
2025-09-01T22:22:41Z,0,0,0,Charge 6
2025-09-01T22:22:42Z,0,0,0,Charge 6
2025-09-01T22:22:43Z,0,0,0,Charge 6
2025-09-01T22:22:44Z,0,0,0,Charge 6
2025-09-01T22:22:45Z,0,0,0,Charge 6
2025-09-01T22:22:46Z,0,0,0,Charge 6
2025-09-01T22:22:47Z,0,0,0,Charge 6
2025-09-01T22:22:48Z,0,0,0,Charge 6
2025-09-01T22:22:49Z,0,0,0,Charge 6
2025-09-01T22:22:50Z,0,0,0,Charge 6
2025-09-01T22:22:51Z,0,0,0,Charge 6
2025-09-01T22:22:52Z,0,0,0,Charge 6
2025-09-01T22:22:53Z,0,0,0,Charge 6
2025-09-01T22:22:54Z,0,0,0,Charge 6
2025-09-01T22:22:55Z,0,0,0,Charge 6
2025-09-01T22:22:56Z,0,0,0,Charge 6
2025-09-01T22:22:57Z,0,0,0,Charge 6
2025-09-01T22:22:58Z,0,0,0,Charge 6
2025-09-01T22:22:59Z,0,0,0,Charge 6
2025-09-01T22:23:00Z,0,0,0,Charge 6
2025-09-01T22:23:01Z,0,0,0,Charge 6
2025-09-01T22:23:02Z,0,0,0,Charge 6
2025-09-01T22:23:03Z,0,0,0,Charge 6
2025-09-01T22:23:04Z,0,0,0,Charge 6
2025-09-01T22:23:05Z,0,0,0,Charge 6
2025-09-01T22:23:06Z,0,0,0,Charge 6
2025-09-01T22:23:07Z,0,0,0,Charge 6
2025-09-01T22:23:08Z,0,0,0,Charge 6
2025-09-01T22:23:09Z,0,0,0,Charge 6
2025-09-01T22:23:10Z,0,0,0,Charge 6
2025-09-01T22:23:11Z,0,0,0,Charge 6
2025-09-01T22:23:12Z,0,0,0,Charge 6
2025-09-01T22:23:13Z,0,0,0,Charge 6
2025-09-01T22:23:14Z,0,0,0,Charge 6
2025-09-01T22:23:15Z,0,0,0,Charge 6
2025-09-01T22:23:16Z,0,0,0,Charge 6
2025-09-01T22:23:17Z,0,0,0,Charge 6
2025-09-01T22:23:18Z,0,0,0,Charge 6
2025-09-01T22:23:19Z,0,0,0,Charge 6
2025-09-01T22:23:20Z,0,0,0,Charge 6
2025-09-01T22:23:21Z,0,0,0,Charge 6
2025-09-01T22:23:22Z,0,0,0,Charge 6
2025-09-01T22:23:23Z,0,0,0,Charge 6
2025-09-01T22:23:24Z,0,0,0,Charge 6
2025-09-01T22:23:25Z,0,0,0,Charge 6
2025-09-01T22:23:26Z,0,0,0,Charge 6
2025-09-01T22:23:27Z,0,0,0,Charge 6
2025-09-01T22:23:28Z,0,0,0,Charge 6
2025-09-01T22:23:29Z,2,0,0,Charge 6
2025-09-01T22:23:30Z,2,0,0,Charge 6
2025-09-01T22:23:31Z,0,0,0,Charge 6
2025-09-01T22:23:32Z,0,0,0,Charge 6
2025-09-01T22:23:33Z,0,0,0,Charge 6
2025-09-01T22:23:34Z,0,0,0,Charge 6
2025-09-01T22:23:35Z,0,0,0,Charge 6
2025-09-01T22:23:36Z,0,0,0,Charge 6
2025-09-01T22:23:37Z,0,0,0,Charge 6
2025-09-01T22:23:38Z,0,0,0,Charge 6
2025-09-01T22:23:39Z,0,0,0,Charge 6
2025-09-01T22:23:40Z,0,0,0,Charge 6
2025-09-01T22:23:41Z,0,0,0,Charge 6
2025-09-01T22:23:42Z,0,0,0,Charge 6
2025-09-01T22:23:43Z,1,0,0,Charge 6
2025-09-01T22:23:44Z,1,0,0,Charge 6
2025-09-01T22:23:45Z,1,0,0,Charge 6
2025-09-01T22:23:46Z,2,140,0,Charge 6
2025-09-01T22:23:47Z,1,290,0,Charge 6
2025-09-01T22:23:48Z,2,470,0,Charge 6
2025-09-01T22:23:49Z,1,650,0,Charge 6
2025-09-01T22:23:50Z,1,810,0,Charge 6
2025-09-01T22:23:51Z,2,870,0,Charge 6
2025-09-01T22:23:52Z,0,870,0,Charge 6
2025-09-01T22:23:53Z,0,1500,0,Charge 6
2025-09-01T22:23:54Z,0,0,0,Charge 6
2025-09-01T22:23:55Z,0,0,0,Charge 6
2025-09-01T22:23:56Z,0,0,0,Charge 6
2025-09-01T22:23:57Z,0,0,0,Charge 6
2025-09-01T22:23:58Z,0,0,0,Charge 6
2025-09-01T22:23:59Z,0,0,0,Charge 6
2025-09-01T22:24:00Z,0,0,0,Charge 6
2025-09-01T22:24:01Z,0,0,0,Charge 6
2025-09-01T22:24:02Z,0,0,0,Charge 6
2025-09-01T22:24:03Z,0,0,0,Charge 6
2025-09-01T22:24:04Z,0,0,0,Charge 6
2025-09-01T22:24:05Z,0,0,0,Charge 6
2025-09-01T22:24:06Z,0,0,0,Charge 6
2025-09-01T22:24:07Z,0,0,0,Charge 6
2025-09-01T22:24:08Z,0,0,0,Charge 6
2025-09-01T22:24:09Z,0,0,0,Charge 6
2025-09-01T22:24:10Z,0,0,0,Charge 6
2025-09-01T22:24:11Z,0,0,0,Charge 6
2025-09-01T22:24:12Z,0,0,0,Charge 6
2025-09-01T22:24:13Z,0,0,0,Charge 6
2025-09-01T22:24:14Z,0,0,0,Charge 6
2025-09-01T22:24:15Z,0,0,0,Charge 6
2025-09-01T22:24:16Z,2,0,0,Charge 6
2025-09-01T22:24:17Z,2,0,0,Charge 6
2025-09-01T22:24:18Z,2,0,0,Charge 6
2025-09-01T22:24:19Z,2,140,0,Charge 6
2025-09-01T22:24:20Z,1,290,0,Charge 6
2025-09-01T22:24:21Z,2,470,0,Charge 6
2025-09-01T22:24:22Z,2,680,0,Charge 6
2025-09-01T22:24:23Z,0,830,0,Charge 6
2025-09-01T22:24:24Z,1,850,0,Charge 6
2025-09-01T22:24:25Z,2,890,0,Charge 6
2025-09-01T22:24:26Z,1,890,0,Charge 6
2025-09-01T22:24:27Z,1,850,0,Charge 6
2025-09-01T22:24:28Z,2,890,0,Charge 6
2025-09-01T22:24:29Z,0,880,0,Charge 6
2025-09-01T22:24:30Z,1,850,0,Charge 6
2025-09-01T22:24:31Z,1,820,0,Charge 6
2025-09-01T22:24:32Z,1,790,0,Charge 6
2025-09-01T22:24:33Z,0,710,0,Charge 6
2025-09-01T22:24:34Z,0,640,0,Charge 6
2025-09-01T22:24:35Z,0,0,0,Charge 6
2025-09-01T22:24:36Z,0,0,0,Charge 6
2025-09-01T22:24:37Z,0,0,0,Charge 6
2025-09-01T22:24:38Z,0,0,0,Charge 6
2025-09-01T22:24:39Z,0,0,0,Charge 6
2025-09-01T22:24:40Z,0,0,0,Charge 6
2025-09-01T22:24:41Z,0,0,0,Charge 6
2025-09-01T22:24:42Z,0,0,0,Charge 6
2025-09-01T22:24:43Z,0,0,0,Charge 6
2025-09-01T22:24:44Z,0,0,0,Charge 6
2025-09-01T22:24:45Z,0,0,0,Charge 6
2025-09-01T22:24:46Z,0,0,0,Charge 6
2025-09-01T22:24:47Z,0,0,0,Charge 6
2025-09-01T22:24:48Z,0,0,0,Charge 6
2025-09-01T22:24:49Z,0,0,0,Charge 6
2025-09-01T22:24:50Z,0,0,0,Charge 6
2025-09-01T22:24:51Z,0,0,0,Charge 6
2025-09-01T22:24:52Z,0,0,0,Charge 6
2025-09-01T22:24:53Z,0,0,0,Charge 6
2025-09-01T22:24:54Z,0,0,0,Charge 6
2025-09-01T22:24:55Z,0,0,0,Charge 6
2025-09-01T22:24:56Z,0,0,0,Charge 6
